id,logged_by,logged_on,to_address,category,subject,description,job_id,farm,status
15,SOSHETTY,"2014-05-20 07:00:00",NULL,Others,"Reg:Big IP mapping changes to include without ""-"" v0072","Currently the bigip mapping is set up as follows : sdiqa-v0072-crm.vfarm.oraclecorp.com however this is supported for fa request.Currently with the jcs -fa integration other cloud services which majorly get triggered through cloud ui does not allow ""-"" and the supported format is sdiqav0072-crm.vfarm.oraclecorp.com We need support for the following : 1.FA requests to be processed with out a ""-"" changes to the mapping. 2.Big ip mappings without a ""-"" to take care of JCS request.",,,Closed
16,VNALLU,"2014-05-20 07:00:00",NULL,Others,"HC not reporting correct status for SDI base job","Hi, for job 19670853, i see that sdi server is in failed not restartable state and i cannot perform FA deployment but HC did not return error state and it shows LIVE. Also on clicking LIVE link am not able to see the report",,,Closed
17,CSBERNAR,"2014-05-20 07:00:00",NULL,Others,"Storage cleanup script picks only 1 matching share for a DTE job","Reported by SOSHETTY:
Storage cleanup did not pick up multiple shares of DTE ID 19186216. Only picked 19186216REL9ST3GSI.
Storage: slcnas570 / sdiqa",19186216,OPC_QA_FARM,Closed
18,MMAHAPAT,"2014-05-20 07:00:00",NULL,Others,"big ip configuration for JCS setup","We would need bigip configuration for jcs and https to work for jcs here are the details :
java ohs :=slc03yzc.us.oracle.com 
sdi host :slc05ven",19326480,,Closed
19,JKUTTAPP,"2014-05-21 07:00:00",NULL,Others,"Please make a ServerPool using adcgdc16,adcgdc17","Please create a ServerPool combining adcgdc16 and adcgdc17",,ovm_general,Closed
20,JKUTTAPP,"2014-05-21 07:00:00",NULL,Others,"Please make a ServerPool using adcgdb03,adcgdb06,adcgbf23","Please create a ServerPool using adcgdb03,adcgdb06,adcgbf23",,ovm_general,Closed
21,MMAHAPAT,"2014-05-22 07:00:00",NULL,Others,"big ip configuration for JCS setup- env 2","As we had the big ip mapping for the other environment ,please map the following 

Rule is changes to *v0028-jcs.vfarm*   { pool v0028-external   } and member with is created for v0028-external

java ohs host :slc03yzf.us.oracle.com",19525004,OPC_QA_FARM,Closed
22,CSBERNAR,"2014-05-22 07:00:00",NULL,Others,"UCF Batch2 - Add hypervisors to QAFARM","Add the following hypervisors to QAFARM
slcan515
slcan516
slcan517
slcan518
slcan519
slcan520
slcan521
slcan522
slcan523",,,Closed
23,CSBERNAR,"2014-05-22 07:00:00",NULL,Others,"UCF Batch2 - Create shared repo and add hypervisors to OPC_QA_SHARED","Create shared repo and add the following hypervisors to OPC_QA_SHARED

slcan524
slcan525
slcan526 (master)",,,Closed
24,SWSUDHAK,"2014-05-22 07:00:00",NULL,Others,"slcai054 vm issue","We faced issues with slcai054 Hypervisor. During rehydration vm creation was not smooth and shown as ""Creating"" in OVM UI and timeout exception occurred and vm creation failed.",19670853,OPC_QA_FARM,Closed
25,PWARRIER,"2014-05-23 07:00:00",NULL,Others,"VM not responding on slcai659. Need to restart hypervisor","Issue resolved. SR to track the request.",,,Closed
26,SWSUDHAK,"2014-05-23 07:00:00",NULL,Others,"Add few Ip's to ohs_reserved","Please add few Ip's to farm ohs_reserved. we need to use slcai055 for RAC db creation",19670853,,Closed
27,SWSUDHAK,"2014-05-24 07:00:00",NULL,Others,"Unable to shutdown slc08dpm VM","During SDI cancel request i notice slc08dpm VM is not shutting down. Please take a look and resolve. Once resolved we will cancel and re-trigger master.",19670853,OPC_QA_SHARED,Closed
28,MMAHAPAT,"2014-05-27 07:00:00",NULL,Others,"big ip configuration for fa extrenal urls not working","ROHS Host :slc03yvo
url :https://sdiqav0072-fs.vfarm.oraclecorp.com/homePage/faces/AtkHomePageWelcome

Rule is changes to *v0072-jcs.vfarm*   { pool v0072-external   } and member with 10.244.160.195:7777 is created for v0072-external",,,Closed
30,HUKUMAR,"2014-06-02 07:00:00",NULL,Others,"confiure java /fa ohs on same host","ROHS:- slc03yvk.us.oracle.com
Deployer host:- aime@slc03wcf
vncdetails:- slc03wcf:2/welcome",19525004,OPC_QA_FARM,Closed
31,SOSHETTY,"2014-06-03 07:00:00",NULL,Others,"ocfs2 shared repo on slcai659 slcai656","ocfs2 shared repo on slcai659 slcai656",,OPC_QA_SHARED,Closed
32,AMATHURA,"2014-06-04 07:00:00",NULL,Others,"Job status shows as WAITING_FOR_FREE_HV even though Free HV is available","I tried submitting the GSI_HA_Rel9_St6 setup which needs ""744451 MB RAM"" in fastha pool:

perl ovm_farm_manager.pl -o listhv -farm fastha
host_name       avl_mem tot_mem avl_cpu tot_cpu avl_vm  max_vm  gate_way        farm            datacenter      status
--------------------------------------------------------------------------------------------------------------------
slcaj502        750000  750000  1000    1000    48      48      10.241.112.1    fastha  slc     UNLOCKED",19974926,fastha,Closed
33,VIKUKUMA,"2014-06-10 07:00:00",NULL,Others,"slcai658 ->DomUVol-OVS unmounted after reboot","In Hyps slcai658 ,DomUVol-OVS got unmounted after reboot .

Could you please help to mount it back.",,OPC_QA_FARM,Closed
34,SWSUDHAK,"2014-06-10 07:00:00",NULL,Others,"Could not release slcai656","Tried to release vm slcai656 with force
/ade_autofs/gd14_fmw/INTGQA_MAIN_GENERIC.rdd/LATEST/intgqa/ovm/private_farm_fwk/ovm_farm_manager_v7.pl -o release -host_name slc04sxu -force
Debug: need to stop and deregister from OVS
ERROR: unknown VM status: Server pool ""slcai656"" does not exist.","19670853 ",OPC_QA_SHARED,Closed
35,KRAMANJA,"2014-06-11 07:00:00",NULL,Others,"Job - 20069785 is waiting for resources and eventually cleaned up after timeout","I have added three hyp to warroom sub farm, two of them are setup shared pool.
Hostname   -   pool name
slcaj503      -   slcaj503(Master)
slcaj504      -   slcaj503
slcai550      -   slcai550

Triggered SDI 14.1.3 HCM with HA topo, still it fails with "" watiing for resources"" and then after timeout it gets cleaned.

Can you please look into this?
Job id - 20069785",20069785,warroom,Closed
36,PWARRIER,"2014-06-11 07:00:00",NULL,Others,"11204 DB templates not active on hypervisors in opc_qa_farm","Error: template: OVM_OL6U4_X86_64_11204DBRAC_PVM is not in active status on hypervisor slcag039",,OPC_QA_FARM,Closed
37,ARBATHIN,"2014-06-12 07:00:00",NULL,Others,"20091985  - failed waiting for HV and timedout","20091985  - failed waiting for HV and timedout

While the job was running, when i monitored , i could see 16 VM's status changed to registered 
[aime@slcaa699 farmmanager_logs]$ perl /ade_autofs/gd14_fmw/INTGQA_MAIN_GENERIC.rdd/LATEST/intgqa/ovm/private_farm_fwk/ovm_farm_manager_v7.pl -o listvm -farm warroom | grep REGISTERED | wc -l
16

Currently i ran another JOB just to see if issue still comes up","20091985 ",warroom,Closed
38,JKUTTAPP,"2014-06-14 07:00:00",NULL,Others,"Request to update DB for slc01dvr and slc03dox memory","Hi Sowmya,
         For IP more memory is required for node slc01dvr and slc03dox. I have increased the memory values. Can you please update the farm db?
slc01dvr old(87040)  new(107040)
slc03dox old(61440)  new(80440)",19392265,ovm_general,Closed
39,VNALLU,"2014-06-16 07:00:00",NULL,NULL,"Need to write a API in farm manager to increase memory","We need to find out if its feasible to write a API to increase physical memory of a VM and update the same in farm DB.

For upgrade testing, we might need to be at 'x' memory level and then later upgrade to 'y' memory level to perform upgrade. This cannot be handled in our automation with existing infrastructure.",,,Open
40,AMALON,"2014-06-16 07:00:00",NULL,Others,"No BIG IP Available Error","Hello,

When trying to add BIG IP to dte job 19326478, I receive no big ip available error. 

$/ade_autofs/gd14_fmw/INTGQA_MAIN_GENERIC.rdd/LATEST/intgqa/ovm/private_farm_fwk/ovm_farm_manager_v7.pl -o getbigip -dteid 19326478
ERROR: No free bigips available!

The big ip here will be used for GSI Rel8 GA HA deployment  with slcal039 and slcal065 hypervisors.",19326478,QAFARM,Closed
41,SWSUDHAK,"2014-06-16 07:00:00",NULL,null,"want Hypervisor for 11.2.0.4 DB","Tried to take hyp slcai657
Getting error:

Enter RAC version 11202/11203/11204: default [11203]: 11204
Error: template: OVM_OL6U4_X86_64_11204DBRAC_PVM is not in active status on hypervisor slcai657",19670853S,OPC_QA_FARM,Closed
42,ARBATHIN,"2014-06-16 07:00:00",NULL,Others,"Request to configure shared repository with master slcaj503 and VM server slcaj504","Request to configure shared repository with master slcaj503 and VM server slcaj504",,warroom,Closed
43,SIDHJAIN,"2014-06-16 07:00:00",NULL,Others,"FA service url not working on slc03wcf","On SDI host : slc03wcf , FA_CRM service url for the request below is not working. We're not using ""-"" in system name.

JOB19525004CRM2REL8svc | FA_CRM    | BASIC     | 2014-06-11 09:18:59 Z | 2014-06-11 21:43:39 Z | https://sdiqav0028REL8-crm.vfarm.oraclecorp.com/customer/faces/CrmFusionHome

Can someone from the farm manager team please take a look.

-- 
Sidharth",19525004,OPC_QA_FARM,Closed
44,SOSHETTY,"2014-06-17 07:00:00",NULL,Others,"move 3 hosts for waroom from QAFARM","move 3 hosts for waroom from QAFARM",,QAFARM,Closed
45,SIDHJAIN,"2014-06-17 07:00:00",NULL,Others,"Unable to ssh to vm slc03yzf.us.oracle.com","The vm slc03yzf seems active from the OVM manager. Ping to this vm is successful but unable to ssh. 

This host is used has Java OHS for SaaS-PaaS Integration work.",,OPC_QA_FARM,Closed
46,NVPRABHU,"2014-06-17 07:00:00",NULL,Others,"Increase physical memory","Need to increase physical memory on Midtier hosts as below:
slc05jml.us.oracle.com: Available: 12.7G, required: 16G. 
slc05jnr.us.oracle.com: Available: 31.4G, required: 40G. 
slc05jmj.us.oracle.com: Available: 31.4G, required: 40G. 
slc05jmk.us.oracle.com: Available: 59.8G, required: 82G.
slc05jnn.us.oracle.com: Available: 31.4G, required: 40G.
slc05jnq.us.oracle.com: Available: 59.8G, required: 82G.",19888582,smart_clone,Closed
47,KRAMANJA,"2014-06-17 07:00:00",NULL,Others,"DTE job:20172848  Failed while Creating DEPLOYER_HOST","DTE job 20172848 has Failed while Creating DEPLOYER_HOST.

Seeing following errors in the",20172848,warroom,Closed
48,KRAMANJA,"2014-06-19 07:00:00",NULL,Others,"For Warroom Pool:  ERROR: No free bigips available!","CRM Rel9-ST7  job(20191838)
 failed with following error.

 ERROR: No free bigips available!",20191838,warroom,Closed
49,KRAMANJA,"2014-06-19 07:00:00",NULL,Others,"DEPLOY_TEMPLATE block has failed  with not enough memory for VM","DEPLOY_TEMPLATE block has failed with the following error.

An error occurred: There is not enough free memory predicted to be available to start VM 'slc05bth_us_oracle_com'.
Total memory needed in OVMM pool 'slcaj503' on host 'slc02oxi.us.oracle.com' is 126464MB, but there is only 124883MB available.",20191648,warroom,Closed
50,KRAMANJA,"2014-06-19 07:00:00",NULL,Others,"Enhancement request: Please provide support for incremental run of preparehyp.sh","Hi,

Currently we are not able to successfully run preparehyp.sh  when some the requirements are already met in the given hypervisor.

We are commenting the exit statement in preparehyp.sh  and continue.


Please enhance preparehyp.sh so that if a requirement is already met in the Hypervisor, the script can go ahead with a warning instead of failure.",Enhancemen,warroom,Closed
62,SIDHJAIN,"2014-07-04 09:28:03",NULL,Hypervisor,"VM's on hypervisor slcah811 not reachable after creation","Created two vms slc03wsn,slc03wom. After starting the vm with farm manager (-o startvm). Both vms are not pinging, but show running on OVM manager.",,OPC_QA_FARM,Closed
51,AMATHURA,"2014-06-20 07:00:00",NULL,Others,"Job stuck @ Creating Deployer host for past 9 hours","I added two new hyps - slcah814 and slcah784

I tried creating one host manually and it went through fine

Pls help",20215279,fastha,Closed
52,VIKUKUMA,"2014-06-20 07:00:00",NULL,Others,"Mounting issue with  hypervisor  slcai658","SDI 14.1.5 REL8 crm setup Register OVAm templ block failed due to below error -

mount: slcai658:/OVS/seed_pool failed, reason given by server: Permission denied",20211188,OPC_QA_FARM,Closed
53,MMAHAPAT,"2014-06-20 07:00:00",NULL,Others,"slc05vej.us.oracle.com unable to ssh","Hi ,
for the idm host slc05vej.us.oracle.com,we are not able to ssh ,as such this might be due to multiple connections ,however to kill the connections we would require root access for this we would need a ssh or vnc which is not avaible .",,QAFARM,Closed
54,NKATARLA,"2014-06-20 07:00:00",NULL,Others,"Not able to start VM on Hypervisor slcag794","Created a VM (slc03pgh) on Hypervisor slcag794 in the Server Pool OPC_QA_FARM. But, not able to start it. Seems that the Hypervisor is in bad state. Can you pls. look into it?",,,Closed
55,KRAMANJA,"2014-06-22 07:00:00",NULL,Others,"Need another big ip for warroom pool","Hi,

Currently we have only one big ip available in War room pool.

Already triggered a Rel7-HCM-HA dte job:20250959.

We will trigger one job for Rel8  env.  Pleast allot a another big ip in warroom pool.

Thanks.",,warroom,Closed
56,AMATHURA,"2014-06-22 07:00:00",NULL,Others,"Cleanup stuck","Cleanup stuck @ following :

<INFO> 21/06/2014 11:12:23 -> slc03wqv is never created

<INFO> 21/06/2014 11:12:23 -> Checking slc03wqv_us_oracle_com for cleanup

Pls help",20215279,fastha,Closed
57,MMAHAPAT,"2014-06-23 07:00:00",NULL,Others,"fa admin host not accesible slc06xys -reboot also fails","Hi ,
fa admin host not accesible slc06xys was failing with following error :
[root@slc06xys ~]# 
Message from syslogd@slc06xys at Jun 23 09:31:16 ...
 kernel:do_get_write_access: OOM for frozen_buffer tried to reboot ,server starts up but cannot ssh or access the host .",,QAFARM,Closed
58,VNALLU,"2014-06-23 07:00:00",NULL,NULL,"nfslock goes down or hangs in hypervisor","Orch job fails as we mount device from hypervisor and nfs is hanging there. Just restart nfs and it works. Need to identify the cause and fix it.",,,Open
59,KRAMANJA,"2014-06-24 07:00:00",NULL,Others,"job: 20257446 -> OSN host not allocated for Rel7 env setup","faovm deploy is failing with the following error.


 Verifying Hosts for Deploy ... An error occurred: [HOST_OSN=%OSN_HOST%.us.oracle.com should exist] {Unable to find host}","20257446 ",warroom,Closed
60,SIDHJAIN,"2014-06-24 07:00:00",NULL,Others,"ZFS mounts are read-only on JCS host slc06xxs","Following mounts with mount points on jcs host slc06xxs have become read-only.

 slcnas570:/export/jcs_commonshare_env2/js_mw1/javacloud_14_1_0_0__140321_0606 on /middleware  
 slcnas570:/export/jcs_commonshare_env2/js_tools on  /cloud9/tools  
 slcnas570:/export/jcs_commonshare_env2-0001/virt24009_domains  on  /domainsroot",,QAFARM,Closed
61,JKUTTAPP,"2014-06-25 07:00:00",NULL,Others,"Resource allocation fails in ovm_general","Resource allocation is not happening properly in ovm_general pool.
For the Job ID: 20290393, when checked using ""listdte"" command, it shows resources are allocated.
But farm ui and worker host logs shows ""WAITING_FOR_FREE_HV"". Can you please check?",20290393,ovm_general,Closed
63,USKUMAR,"2014-07-07 09:25:07",NULL,Others,"Can't create slc01yvn which already exist :: status is: (111, 'Connection refused')","While creating RAC DB, existing VMs are picked for DB creation and hence RAC DB creation fails with below error.

ERROR: Can't create slc01yvn which already exist :: status is: (111, 'Connection refused')
Error: node1 failed to create

Can you have a look on this.

Same error occurred on adcgdc16 hyp too",,ovm_general,Closed
64,MULIEGAD,"2014-07-09 15:19:31",NULL,Cleanup,"Job 20152586 failed to cleanup","Job 20152586 failed to cleanup and displays below log. Can you please help me to clean this job.
Have used the cleanup id 20152586_5rah6s7u4r5duij1422ro21l70 shared by venkatesh.


Can't bring down  on a timely manner. Something is Wrong
ERROR: VM:  slc06xwt_us_oracle_com cleanup failed
ERROR: Unable to release VM: slc06xwt
INFO: releasing VM slc06xwz
slc06xwz is never created",20152586,OPC_QA_SHARED,Closed
65,JKUTTAPP,"2014-07-10 05:16:20",NULL,Cleanup,"SDI cleanup job failed","For the FA job 20195078 on SDI Base, cleanup is failing to run DEPLOY_DELETE.
Log: Error Detected in Log File --> /net/adc6181303/scratch/aime/work/custom_cleanup.log

+ echo 'Deploy Delete block has failed. Hence skipping the zfs storage deletion.'
Deploy Delete block has failed. Hence skipping the zfs storage deletion.

SDI Deployer host: slc03eeo","20195078 ",OPC_QA_SHARED,Closed
66,AMATHURA,"2014-07-14 12:42:57",NULL,Cleanup,"Cleanup failed for job 19990372","Cleanup failed for job 19990372. Pls help.",19990372,fastha,Closed
67,AMATHURA,"2014-07-14 18:25:52",NULL,Cleanup,"HCM Rel9 HA 8.1 Setup failed","HCM Rel9 HA 8.1 Setup failed with below errors:

Add Rack error: javax.ejb.EJBException: EJB Exception: : java.lang.IllegalArgumentException: 12 address(es) already exist. example: 10.241.116.194",20560458,fastha,Closed
68,SWSUDHAK,"2014-07-15 03:49:52",NULL,VM,"slc04sxu_us_oracle_com could not be shutdown","During cancel request it failed due to socket exception as FA vm slc04sxu.us.oracle.com was not responding.But it showed Running in OVMM. We tried to restart and getting error message ""Can't bring down  on a timely manner. Something is Wrong""
can you help bringing up this vm so we can proceed with cancel request.",19670853,OPC_QA_SHARED,Closed
69,NKATARLA,"2014-07-15 08:16:05",NULL,Hypervisor,"Cleanup Failed","The cleanup of the SDI Job 20554499 failed.

Can you pls. look into it?",20554499,OPC_QA_FARM,Closed
70,AMATHURA,"2014-07-16 05:40:17",NULL,Others,"Job 20579392 failed while creating deployer host","Deployer host (slc03wkz) is already created in hyp slcah783 in ovmm. We are seeing issues everytime when we add a new hypervisor with VM Creation. Pls help.",20579392,,Closed
71,SOSHETTY,"2014-07-16 14:20:06",NULL,Others,"Big ip request porting team","2 big ip request for 2 weeks by senthil.arumugam@oracle.com",,,Closed
72,NKATARLA,"2014-07-17 04:18:00",NULL,Others,"Error while starting VM","The Nuviaq Host VM got registered successfully, but couldn't be started.

slc04swr	10.240.195.10	slcai656	4096	2	10.240.192.1	REGISTERED	20592424	OPC_QA_SHARED	

Powering on.
resetting slc04swr 
Virtual machine status has been reset.
Powering on.
Can't bring on  on a timely manner. Something is Wrong",20592424,OPC_QA_SHARED,Closed
73,AMATHURA,"2014-07-17 13:55:54",NULL,Others,"Pls allocate more Big IPs for farm fastha","Pls allocate more Big IPs for farm fastha",,fastha,Closed
74,NKATARLA,"2014-07-17 14:57:08",NULL,Cleanup,"SDI Job 20592457 Cleanup Failed","The SDI Job 20592457 cleanup failed, as the RACDB_DETAILS.properties file not found in /scratch/aime/work location on Deployer Host slc03wfj.

How do we cleanup in such scenarios? 

Pls. do the needful.",20592457,OPC_QA_FARM,Closed
75,SWSUDHAK,"2014-07-18 06:10:34",NULL,Cleanup,"19670853 -Job Cleanup Failed","19670853 - Job cleanup Failed.
Request to cleanup this",19670853,OPC_QA_FARM,Closed
76,NKATARLA,"2014-07-18 10:37:17",NULL,Cleanup,"Job Cleanup Failed","The FA Deploy Job 20621280 cleanup failed.

Pls. do the needful.",20621280,OPC_QA_FARM,Closed
77,AMATHURA,"2014-07-18 14:07:18",NULL,VM,"Setup is failing during RAC creation due to time out issue even though VM is created and in running","HA Setup is failing during RAC creation due to time out issue even though VM is created and in running state. Listener logs in hypervisor (slcah810) is updated successfully though.",20616630,fastha,Closed
78,AMATHURA,"2014-07-18 18:53:14",NULL,Cleanup,"Cleanup failed for job 20261861","SDI Req slc05jji shows as success for deletion - JOB217825Del       | DELETE       | [SYSTEM, FA_CRM] | COMPLETED     | sdiqa20261861-v0068 | 2014-07-18 07:30:03 -07:00 | 2014-07-18 08:02:21 -07:00 
Location of Log - /net/slc03wqv/scratch/aime/work/oracle/work/DEPLOY_DELETE/logs/request_delete.log

Old Rack and FADBs are not removed in SDI. Is this expected?",20261861,fastha,Closed
79,NKATARLA,"2014-07-22 08:15:32",NULL,Cleanup,"FA Deploy Job 20660523 Cleanup Failed","The FA Deploy Job 20660523 Cleanup Failed.

Pls. do the needful.",20660523,OPC_QA_FARM,Closed
80,SWSUDHAK,"2014-07-22 12:49:09",NULL,Others,"Master Setup failed due to SetupRAC task in job#20676847","Master job is failing second time at task SETUP_RAC_FOR_DEPLOYMENT.dif for job# 20676847
And 11.2.0.4 DB creation is failing when it tries to invoke farm createrac command

logs:
/net/slc04swt.us.oracle.com/scratch/aime/PFA_REMOTE/job_20676847/work/oracle/work/SETUP_RAC_FOR_DEPLOYMENT/logs/build_rac_22_07_2014_02_57_05_84.906264408195.log
SDI_PARENT_DTE_ID=20621298",20676847,OPC_QA_SHARED,Closed
81,AMATHURA,"2014-07-22 15:22:38",NULL,Others,"Following Roles are missing for FAAdmin user in Non SDI OVM Setups","Following Roles are missing for FAAdmin user in Non SDI OVM Setups

Application Diagonistics Administrator
Application Implementation Consultant
IT Security Manager

In our local setups, we could see the above roles. Could you pls confirm whether this restriction is specified anywhere in ovm-ha-deploy.properties?",20632842,fastha,Closed
82,AMATHURA,"2014-07-22 16:36:18",NULL,Others,"Pls allocate more Big IPs for farm fastha","Pls allocate more Big IPs for farm fastha",,fastha,Closed
83,KRAMANJA,"2014-07-23 10:37:54",NULL,Hypervisor,"job-20697309  was hung  at  CREATING_DEPLOYER_HOST","This is the listener log on hypervisor.  Nothing updated in the last 45 mins

/scripts/changevm.sh  command is successful.  But there after no update in the log.","20697309  ",warroom,Closed
84,NKATARLA,"2014-07-24 05:25:18",NULL,Cleanup,"FA Deploy Job 20678375 Cleanup Failed","The FA Deploy Job 20678375 cleanup failed.

Pls. do the needful.",20678375,OPC_QA_FARM,Closed
85,NKATARLA,"2014-07-25 00:56:49",NULL,Cleanup,"Job Cleanup Failed","The FA Deploy Job 20713810 cleanup failed.

As suggested, we've modified our Topo to copy the RACDB_DETAILS.properties file to /scratch/aime/work location on Deployer Host. Still, no luck.

Pls. do the needful.",20713810,OPC_QA_FARM,Closed
86,MULIEGAD,"2014-07-25 10:05:23",NULL,Cleanup,"Cleaning of job 20696947 is in CLEANING_INITIATED state from long","Had initiated cleanup for job 20696947 yesterday but it is in CLEANING_INITIATED",20696947,OPC_QA_FARM,Closed
87,MULIEGAD,"2014-07-25 17:20:27",NULL,Hypervisor,"Unable to shutdown VM;s of job 20680406","We are unable to bring down OVM's which is part of job 20680406.
slc04sxo.us.oracle.com
slc04sxi.us.oracle.com
slc04sxh.us.oracle.com
slc04sxg.us.oracle.com
slc04sxb.us.oracle.com
slc04svp.us.oracle.com
slc04svo.us.oracle.com
slc04svn.us.oracle.com
slc04qft.us.oracle.com 

The farm command to shutdown erros out as below:
WARNING:the vm is in invalid state. Can't bring it DOWN now 

Please help us to resolve this.",20680406,OPC_QA_FARM,Closed
88,RINSHARM,"2014-07-28 06:32:52",NULL,Hypervisor,"DB hosts not coming up for job id 20571994","hi All,

DB hosts RAC_NODE1_HOST=slc03zao.us.oracle.com 				
				 				 				 RAC_NODE2_HOST=slc03zan.us.oracle.com 				
				 				 				 RAC_NODE1_VIP_HOST=slc03zam.us.oracle.com 				
				 				 				 RAC_NODE2_VIP_HOST=slc03zal.us.oracle.com 

are not coming up for job id 20571994 

Hypervisors for these hosts are not pingable.

Please have a look.",,OPC_QA_FARM,Closed
89,SWSUDHAK,"2014-07-28 10:09:25",NULL,Hypervisor,"Facing issues while starting vm's for 20621298","Tried both start env as well as startvm command.
But facing issues
/net/slc03rwj/scratch/aime/QAFarm/ovm_farm_manager_v7.pl -o start_env  -envid 20621298
INFO: Starting Up VM : slc03wcm
Powering on.
Can't bring on  on a timely manner. Something is Wrong

/net/slc03rwj/scratch/aime/QAFarm/ovm_farm_manager_v7.pl -o startvm -host_name slc03wcm
resetting slc03wcm
Virtual machine status has been reset.",20621298,OPC_QA_FARM,Closed
90,NKATARLA,"2014-07-28 11:55:31",NULL,VM,"VMs Not Coming Up","The below VMs are not coming up after starting the SDI Base Environment 19967913.

SFTP_HOST=slc03edn.us.oracle.com 
HOSTED_ROUTING_OHS_HOST=slc03edm.us.oracle.com 
FR_1_EMGC_HOST=slc01dur.us.oracle.com 

Pls. do the needful.",19967913,ovm_general,Closed
91,VIKUKUMA,"2014-07-28 15:11:18",NULL,Hypervisor,"Hyp slcah764.us.oracle.com is not accessible","Hypervisor slcah764.us.oracle.com is not accessible

After quarterly maintenance .

Please help to bring up  slcah764",,OPC_QA_FARM,Closed
92,VNALLU,"2014-07-30 09:00:24",NULL,NULL,"cleanup sdi_base and sdi_fa table","Post QM, we need to clean these tables as few initiated cleanalldte manually and cleaned the shares. these tables would not ahve been updated.

Raising ticket for ourself to track this.",,,Open
93,JKUTTAPP,"2014-07-31 06:27:28",NULL,NFS,"""List/Edit OVM Topology"" link not responding in Farm UI","""List/Edit OVM Topology"" link in UI is not responding.
All other links are working fine.
Please take a look",,,Closed
